"","venueID","venueCapacity","venueLng","venueLat"
"144","945","7100","-118.2656014","34.0442944"
"145","1138206",NA,"-80.2711588","25.7213213"
"146","9418",NA,"-82.349749","29.6521198"
"147","883686",NA,"-86.77857","36.159949"
"148","35755",NA,"-72.216087","41.7125465"
"149","30486",NA,"-81.03704","33.99482"
"150","974",NA,"-84.5010157","38.0491448"
"151","1518178",NA,"-84.25422","30.43051"
"152","571396","10000","-90.0522748","30.0290138"
"153","1421",NA,"-97.732422","30.276391"
"154","626796",NA,"-97.514594","35.463391"
"155","1495",NA,"-94.5810277","39.0971547"
"156","1608964","7000","-97.10875","32.7311"
"157","523111",NA,"-110.97472","32.21877"
"158","5953",NA,"-118.2801856","34.0211949"
"159","49783",NA,"-121.747565","38.533539"
"160","687",NA,"-119.7394542","36.8086546"
"161","6712",NA,"-121.8807548","37.3350794"
"162","493071","12500","-117.0732307","32.7789676"
"163","26",NA,"-77.0080194","38.9063878"
"164","29945","14500","-6.2368936","53.3473601"
"165","17532","20000","0.0056346","51.4967304"
"166","3991","13500","-1.4168171","53.4005442"
"167","17442","7500","-3.17263","51.4788"
"168","17602","21000","-2.2433451","53.487311"
"169","59793","10000","-4.28924","55.86108"
"170","3120894","17000","2.37823","48.83917"
"171","29655",NA,"8.51972","50.09914"
"172","30355",NA,"13.4060405","52.5460128"
"173","44329",NA,"12.516475","55.649387"
"174","817536","13850","18.0808159","59.2941674"
"175","34267","8700","10.7547925","59.9126026"
"176","1808","11000","-2.98576","53.39688"
"177","29167","11000","-1.62403","54.96307"
"178","16756","10000","-1.1392764","52.95264"
"179","28992","16085","-117.7491055","33.6370977"
"180","1257436","700","-111.939838","33.4261603"
"181","33948",NA,"-115.1699679","36.1022507"
"182","498","12000","-106.6623463","34.9379864"
"183","504",NA,"-95.3621823","29.7519787"
"184","3640349","20278","-77.021","38.89801"
"185","15500","15274","-83.380305","42.7510124"
"186","254486","24400","-85.9309888","40.0049812"
"187","5942",NA,"-90.0517042","35.1395093"
"188","69228",NA,"-72.6693191","41.7801718"
"189","37530","17500","-74.2135086","39.9830657"
"190","3930","150000","-0.1652354","51.5081966"
"191","76588",NA,"-79.6139721","45.011339"
"192","56561",NA,"-75.1735465","39.9602094"
"193","1959094",NA,"-95.5424957","29.7847223"
"194","1076721","860","-73.9979","40.72931"
"195","15913","20000","-122.667285","45.531608"
"196","596",NA,"-122.426834","47.23634"
"197","1151226","19289","-114.0537276","51.0382906"
"198","30669",NA,"-113.455915","53.571982"
"199","30046","16345","-97.1436897","49.8926223"
"200","1054","19356","-93.274889","44.979657"
"201","973","19260","-90.202131","38.626175"
"202","472",NA,"-86.15548","39.76405"
"203","535","62000","-83.2437214","42.696511"
"204","534","20562","-81.6894825","41.4967035"
"205","38546","19200","-78.8762459","42.8749473"
"206","922176","20000","-79.9889352","40.4395932"
"207","30662","21273","-73.5694784","45.49603"
"208","30665","20500","-75.9300971","45.2927317"
"209","3959804","19800","-79.37908","43.64352"
"210","706","18711","-74.170268","40.733747"
"211","1656338","18103","-73.9760265","40.6834879"
"212","16873","20200","-80.8393335","35.2250606"
"213","1770713","19772","-78.721933","35.803475"
"214","5065","19600","-80.187805","25.781232"
"215","1056","21500","-82.4519634","27.9425879"
"216","4123584",NA,"-84.39634","33.75723"
"217","539646",NA,"-90.0795886","29.9519059"
"218","673",NA,"-96.810159","32.790442"
"219","671",NA,"-98.4373167","29.4270165"
"220","613",NA,"-112.071313","33.445899"
"221","2055119",NA,"-121.517077","38.648005"
"222","615",NA,"-122.2015715","37.7515541"
"223","127021",NA,"-115.1538714","36.1100828"
"224","3225589",NA,"-122.6668196","45.5318596"
"225","521","23500","-87.674145","41.8812601"
"226","522",NA,"-83.00636","39.9694"
